over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T10:58:18Z,1,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,299,37,Silly Mid Off,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,True,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T10:58:49Z,2,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T10:59:22Z,3,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,238,77,Mid On,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T10:59:52Z,4,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,238,36,Silly Mid On,0,0,0,0,BackOfALength,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:00:25Z,5,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,251,31,Silly Mid On,0,0,0,0,BackOfALength,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:00:59Z,6,False,202,James Anderson,3491,Ben Compton,13940,Jaydn Denly,270,40,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1079940,2,2.0,4.0,0.0,0.0,4.0,0.0,4.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:02:05Z,1,False,247,Tom Bailey,13940,Jaydn Denly,3491,Ben Compton,356,56,Point,0,0,0,0,BackOfALength,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1079940,2,2.0,4.0,0.0,0.0,4.0,0.0,4.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:02:33Z,2,False,247,Tom Bailey,13940,Jaydn Denly,3491,Ben Compton,198,68,Mid Wicket,0,0,0,0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1079940,2,2.0,4.0,0.0,0.0,4.0,0.0,4.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:03:08Z,3,False,247,Tom Bailey,13940,Jaydn Denly,3491,Ben Compton,340,63,Point,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1079940,2,2.0,4.0,0.0,0.0,4.0,0.0,4.0,39278,,22420,County Championship Division Two 2025,1,41,Kent Men,50,Lancashire Men,2025-06-22T11:03:39Z,4,False,247,Tom Bailey,13940,Jaydn Denly,3491,Ben Compton,349,188,Deep Cover,4,0,4,4,BackOfALength,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,4,0,0,0,0,False,True,,,,,
